x,y,z,layer_angle_deg
20.0,0.0,20.0,32
19.318516525781366,5.176380902050415,20.0,32
17.320508075688775,9.999999999999998,20.0,32
14.142135623730951,14.142135623730951,20.0,32
10.000000000000002,17.32050807568877,20.0,32
5.176380902050419,19.318516525781362,20.0,32
1.2246467991473533e-15,20.0,20.0,32
-5.176380902050413,19.318516525781366,20.0,32
-9.999999999999996,17.320508075688775,20.0,32
-14.14213562373095,14.142135623730951,20.0,32
-17.32050807568877,10.000000000000007,20.0,32
-19.318516525781362,5.17638090205042,20.0,32
-20.0,2.4492935982947065e-15,20.0,32
-19.31851652578137,-5.176380902050407,20.0,32
-17.320508075688778,-9.999999999999995,20.0,32
-14.142135623730958,-14.142135623730942,20.0,32
-10.000000000000009,-17.32050807568877,20.0,32
-5.176380902050431,-19.318516525781362,20.0,32
-3.673940397442059e-15,-20.0,20.0,32
5.176380902050406,-19.31851652578137,20.0,32
9.999999999999986,-17.32050807568878,20.0,32
14.142135623730947,-14.142135623730955,20.0,32
17.320508075688767,-10.000000000000009,20.0,32
19.318516525781362,-5.176380902050432,20.0,32
20.0,0.0,22.5,36
19.318516525781366,5.176380902050415,22.5,36
17.320508075688775,9.999999999999998,22.5,36
14.142135623730951,14.142135623730951,22.5,36
10.000000000000002,17.32050807568877,22.5,36
5.176380902050419,19.318516525781362,22.5,36
1.2246467991473533e-15,20.0,22.5,36
-5.176380902050413,19.318516525781366,22.5,36
-9.999999999999996,17.320508075688775,22.5,36
-14.14213562373095,14.142135623730951,22.5,36
-17.32050807568877,10.000000000000007,22.5,36
-19.318516525781362,5.17638090205042,22.5,36
-20.0,2.4492935982947065e-15,22.5,36
-19.31851652578137,-5.176380902050407,22.5,36
-17.320508075688778,-9.999999999999995,22.5,36
-14.142135623730958,-14.142135623730942,22.5,36
-10.000000000000009,-17.32050807568877,22.5,36
-5.176380902050431,-19.318516525781362,22.5,36
-3.673940397442059e-15,-20.0,22.5,36
5.176380902050406,-19.31851652578137,22.5,36
9.999999999999986,-17.32050807568878,22.5,36
14.142135623730947,-14.142135623730955,22.5,36
17.320508075688767,-10.000000000000009,22.5,36
19.318516525781362,-5.176380902050432,22.5,36
20.0,0.0,25.0,40
19.318516525781366,5.176380902050415,25.0,40
17.320508075688775,9.999999999999998,25.0,40
14.142135623730951,14.142135623730951,25.0,40
10.000000000000002,17.32050807568877,25.0,40
5.176380902050419,19.318516525781362,25.0,40
1.2246467991473533e-15,20.0,25.0,40
-5.176380902050413,19.318516525781366,25.0,40
-9.999999999999996,17.320508075688775,25.0,40
-14.14213562373095,14.142135623730951,25.0,40
-17.32050807568877,10.000000000000007,25.0,40
-19.318516525781362,5.17638090205042,25.0,40
-20.0,2.4492935982947065e-15,25.0,40
-19.31851652578137,-5.176380902050407,25.0,40
-17.320508075688778,-9.999999999999995,25.0,40
-14.142135623730958,-14.142135623730942,25.0,40
-10.000000000000009,-17.32050807568877,25.0,40
-5.176380902050431,-19.318516525781362,25.0,40
-3.673940397442059e-15,-20.0,25.0,40
5.176380902050406,-19.31851652578137,25.0,40
9.999999999999986,-17.32050807568878,25.0,40
14.142135623730947,-14.142135623730955,25.0,40
17.320508075688767,-10.000000000000009,25.0,40
19.318516525781362,-5.176380902050432,25.0,40
