ray_id,event_index,event_type,layer_index,x,y,z,dir_x,dir_y,dir_z,energy_kev,intensity,cumulative_distance,cumulative_steering_deg
5,5,layer_enter,2,2.1536804456686856,1.0109844405737562,5.0,0.3967846691306299,0.18257418583505539,0.8995713384771458,60.0,0.9603999999999999,16.491840983993196,2.0
5,6,layer_exit,2,2.1536804456686856,1.0109844405737562,5.0,0.4124239215220858,0.18257418583505536,0.8925094820913732,60.0,0.9411919999999999,16.491840983993196,3.0
5,7,layer_enter,3,3.308917252104829,1.5223912925414194,7.5,0.4124239215220858,0.18257418583505536,0.8925094820913732,60.0,0.9411919999999999,19.29293167284714,3.0
5,8,layer_exit,3,3.308917252104829,1.5223912925414194,7.5,0.42793754559180597,0.18257418583505536,0.8851757586714222,60.0,0.9223681599999999,19.29293167284714,4.0
5,9,layer_enter,4,4.5175403458791825,2.0380351746928143,10.0,0.42793754559180597,0.18257418583505536,0.8851757586714222,60.0,0.9223681599999999,22.117229531785686,4.0
5,10,layer_exit,4,4.5175403458791825,2.0380351746928143,10.0,0.44332081573961474,0.18257418583505536,0.8775724021404898,60.0,0.9039207967999998,22.117229531785686,5.0
5,11,detector_hit,,9.56921260287256,4.1184810204115045,20.0,0.44332081573961474,0.18257418583505536,0.8775724021404898,60.0,0.9039207967999998,33.512300725466076,5.0
6,0,emitted,,-2.0,-2.0,-10.0,0.19245008972987526,0.19245008972987526,0.9622504486493764,60.0,1.0,0.0,0.0
6,1,layer_enter,0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.19245008972987526,0.19245008972987526,0.9622504486493764,60.0,1.0,10.392304845413262,0.0
6,2,layer_exit,0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.20921436457334378,0.19245008972987526,0.9587451760604249,60.0,0.98,10.392304845413262,1.0
6,3,layer_enter,1,0.5455421570751089,0.5018280522689849,2.5,0.20921436457334378,0.19245008972987526,0.9587451760604249,60.0,0.98,12.9998798949929,1.0
6,4,layer_exit,1,0.5455421570751089,0.5018280522689849,2.5,0.2259149106946582,0.19245008972987526,0.9549478604032724,60.0,0.9603999999999999,12.9998798949929,2.0
6,5,layer_enter,2,1.1369747369629124,1.005651605652842,5.0,0.2259149106946582,0.19245008972987526,0.9549478604032724,60.0,0.9603999999999999,15.617823872525092,2.0
6,6,layer_exit,2,1.1369747369629124,1.005651605652842,5.0,0.24254664094568815,0.19245008972987526,0.9508596583770533,60.0,0.9411919999999999,15.617823872525092,3.0
6,7,layer_enter,3,1.7746783107996438,1.5116413382973866,7.5,0.24254664094568815,0.19245008972987526,0.9508596583770533,60.0,0.9411919999999999,18.247023647670723,3.0
6,8,layer_exit,3,1.7746783107996438,1.5116413382973866,7.5,0.259104489140284,0.19245008972987526,0.9464818152877084,60.0,0.9223681599999999,18.247023647670723,4.0
6,9,layer_enter,4,2.459066761151229,2.019971468420845,10.0,0.259104489140284,0.19245008972987526,0.9464818152877084,60.0,0.9223681599999999,20.88838448484651,4.0
6,10,layer_exit,4,2.459066761151229,2.019971468420845,10.0,0.2755834115974861,0.1924500897298752,0.9418156646686513,60.0,0.9039207967999998,20.88838448484651,5.0
6,11,detector_hit,,5.3851532761216685,4.063365913315566,20.0,0.2755834115974861,0.1924500897298752,0.9418156646686513,60.0,0.9039207967999998,31.506173480231496,5.0
7,0,emitted,,0.0,-2.0,-10.0,0.0,0.19611613513818404,0.9805806756909202,60.0,1.0,0.0,0.0
7,1,layer_enter,0,0.0,0.0,0.0,0.0,0.19611613513818404,0.9805806756909202,60.0,1.0,10.198039027185569,0.0
7,2,layer_exit,0,0.0,0.0,0.0,0.017113492496704033,0.19611613513818404,0.9804313285044634,60.0,0.98,10.198039027185569,1.0
7,3,layer_enter,1,0.04363766232054397,0.5000761640219539,2.5,0.017113492496704033,0.19611613513818404,0.9804313285044634,60.0,0.98,12.747937145816138,1.0
7,4,layer_exit,1,0.04363766232054397,0.5000761640219539,2.5,0.03422177205781145,0.19611613513818404,0.9799833324376925,60.0,0.9603999999999999,12.747937145816138,2.0
7,5,layer_enter,2,0.1309395860499133,1.0003809361713647,5.0,0.03422177205781145,0.19611613513818404,0.9799833324376925,60.0,0.9603999999999999,15.299000941749576,2.0
7,6,layer_exit,2,0.1309395860499133,1.0003809361713647,5.0,0.0513196273356363,0.19611613513818404,0.9792368239545495,60.0,0.9411919999999999,15.299000941749576,3.0
7,7,layer_enter,3,0.2619590342575163,1.5010671091703252,7.5,0.0513196273356363,0.19611613513818404,0.9792368239545495,60.0,0.9411919999999999,17.852009508057368,3.0
7,8,layer_exit,3,0.2619590342575163,1.5010671091703252,7.5,0.06840185015783032,0.196116135138184,0.9781920304487495,60.0,0.9223681599999999,17.852009508057368,4.0
7,9,layer_enter,4,0.43677606411629233,2.0022880582109113,10.0,0.06840185015783032,0.196116135138184,0.9781920304487495,60.0,0.9223681599999999,20.40774490783681,4.0
7,10,layer_exit,4,0.43677606411629233,2.0022880582109113,10.0,0.08546323711384265,0.196116135138184,0.9768492701745161,60.0,0.9039207967999998,20.40774490783681,5.0
7,11,detector_hit,,1.3116626993755323,4.009927733297605,20.0,0.08546323711384265,0.196116135138184,0.9768492701745161,60.0,0.9039207967999998,30.644738787366947,5.0
