sphere_id,layer_index,ring_index,x,y,z,sphere_radius,ring_radius,azimuth_deg,steering_angle_deg
79,3,7,-5.176380902050413,19.318516525781366,7.5,1.0,20.0,105.0,12.0
80,3,8,-9.999999999999996,17.320508075688775,7.5,1.0,20.0,119.99999999999999,12.0
81,3,9,-14.14213562373095,14.142135623730951,7.5,1.0,20.0,135.0,12.0
82,3,10,-17.320508075688775,9.999999999999998,7.5,1.0,20.0,150.0,12.0
83,3,11,-19.318516525781362,5.17638090205042,7.5,1.0,20.0,165.0,12.0
84,3,12,-20.0,2.4492935982947065e-15,7.5,1.0,20.0,180.0,12.0
85,3,13,-19.318516525781366,-5.176380902050416,7.5,1.0,20.0,195.0,12.0
86,3,14,-17.320508075688778,-9.999999999999995,7.5,1.0,20.0,210.0,12.0
87,3,15,-14.142135623730958,-14.142135623730942,7.5,1.0,20.0,224.99999999999997,12.0
88,3,16,-10.000000000000009,-17.320508075688767,7.5,1.0,20.0,239.99999999999997,12.0
89,3,17,-5.176380902050413,-19.318516525781366,7.5,1.0,20.0,255.00000000000003,12.0
90,3,18,-3.673940397442059e-15,-20.0,7.5,1.0,20.0,270.0,12.0
91,3,19,5.176380902050406,-19.31851652578137,7.5,1.0,20.0,285.0,12.0
92,3,20,10.000000000000002,-17.32050807568877,7.5,1.0,20.0,300.0,12.0
93,3,21,14.142135623730947,-14.142135623730955,7.5,1.0,20.0,315.0,12.0
94,3,22,17.320508075688767,-10.000000000000009,7.5,1.0,20.0,330.0,12.0
95,3,23,19.318516525781362,-5.176380902050432,7.5,1.0,20.0,344.99999999999994,12.0
96,4,0,20.0,0.0,10.0,1.0,20.0,0.0,16.0
97,4,1,19.318516525781366,5.176380902050415,10.0,1.0,20.0,14.999999999999998,16.0
98,4,2,17.320508075688775,9.999999999999998,10.0,1.0,20.0,29.999999999999996,16.0
99,4,3,14.142135623730951,14.14213562373095,10.0,1.0,20.0,45.0,16.0
100,4,4,10.000000000000002,17.32050807568877,10.0,1.0,20.0,59.99999999999999,16.0
101,4,5,5.176380902050415,19.318516525781366,10.0,1.0,20.0,75.0,16.0
102,4,6,1.2246467991473533e-15,20.0,10.0,1.0,20.0,90.0,16.0
103,4,7,-5.176380902050413,19.318516525781366,10.0,1.0,20.0,105.0,16.0
104,4,8,-9.999999999999996,17.320508075688775,10.0,1.0,20.0,119.99999999999999,16.0
105,4,9,-14.14213562373095,14.142135623730951,10.0,1.0,20.0,135.0,16.0
106,4,10,-17.320508075688775,9.999999999999998,10.0,1.0,20.0,150.0,16.0
107,4,11,-19.318516525781362,5.17638090205042,10.0,1.0,20.0,165.0,16.0
108,4,12,-20.0,2.4492935982947065e-15,10.0,1.0,20.0,180.0,16.0
109,4,13,-19.318516525781366,-5.176380902050416,10.0,1.0,20.0,195.0,16.0
110,4,14,-17.320508075688778,-9.999999999999995,10.0,1.0,20.0,210.0,16.0
111,4,15,-14.142135623730958,-14.142135623730942,10.0,1.0,20.0,224.99999999999997,16.0
112,4,16,-10.000000000000009,-17.320508075688767,10.0,1.0,20.0,239.99999999999997,16.0
113,4,17,-5.176380902050413,-19.318516525781366,10.0,1.0,20.0,255.00000000000003,16.0
114,4,18,-3.673940397442059e-15,-20.0,10.0,1.0,20.0,270.0,16.0
115,4,19,5.176380902050406,-19.31851652578137,10.0,1.0,20.0,285.0,16.0
116,4,20,10.000000000000002,-17.32050807568877,10.0,1.0,20.0,300.0,16.0
117,4,21,14.142135623730947,-14.142135623730955,10.0,1.0,20.0,315.0,16.0
118,4,22,17.320508075688767,-10.000000000000009,10.0,1.0,20.0,330.0,16.0
119,4,23,19.318516525781362,-5.176380902050432,10.0,1.0,20.0,344.99999999999994,16.0
120,5,0,20.0,0.0,12.5,1.0,20.0,0.0,20.0
121,5,1,19.318516525781366,5.176380902050415,12.5,1.0,20.0,14.999999999999998,20.0
122,5,2,17.320508075688775,9.999999999999998,12.5,1.0,20.0,29.999999999999996,20.0
123,5,3,14.142135623730951,14.14213562373095,12.5,1.0,20.0,45.0,20.0
124,5,4,10.000000000000002,17.32050807568877,12.5,1.0,20.0,59.99999999999999,20.0
125,5,5,5.176380902050415,19.318516525781366,12.5,1.0,20.0,75.0,20.0
126,5,6,1.2246467991473533e-15,20.0,12.5,1.0,20.0,90.0,20.0
127,5,7,-5.176380902050413,19.318516525781366,12.5,1.0,20.0,105.0,20.0
128,5,8,-9.999999999999996,17.320508075688775,12.5,1.0,20.0,119.99999999999999,20.0
129,5,9,-14.14213562373095,14.142135623730951,12.5,1.0,20.0,135.0,20.0
130,5,10,-17.320508075688775,9.999999999999998,12.5,1.0,20.0,150.0,20.0
131,5,11,-19.318516525781362,5.17638090205042,12.5,1.0,20.0,165.0,20.0
132,5,12,-20.0,2.4492935982947065e-15,12.5,1.0,20.0,180.0,20.0
133,5,13,-19.318516525781366,-5.176380902050416,12.5,1.0,20.0,195.0,20.0
134,5,14,-17.320508075688778,-9.999999999999995,12.5,1.0,20.0,210.0,20.0
135,5,15,-14.142135623730958,-14.142135623730942,12.5,1.0,20.0,224.99999999999997,20.0
136,5,16,-10.000000000000009,-17.320508075688767,12.5,1.0,20.0,239.99999999999997,20.0
137,5,17,-5.176380902050413,-19.318516525781366,12.5,1.0,20.0,255.00000000000003,20.0
138,5,18,-3.673940397442059e-15,-20.0,12.5,1.0,20.0,270.0,20.0
139,5,19,5.176380902050406,-19.31851652578137,12.5,1.0,20.0,285.0,20.0
140,5,20,10.000000000000002,-17.32050807568877,12.5,1.0,20.0,300.0,20.0
141,5,21,14.142135623730947,-14.142135623730955,12.5,1.0,20.0,315.0,20.0
142,5,22,17.320508075688767,-10.000000000000009,12.5,1.0,20.0,330.0,20.0
143,5,23,19.318516525781362,-5.176380902050432,12.5,1.0,20.0,344.99999999999994,20.0
144,6,0,20.0,0.0,15.0,1.0,20.0,0.0,24.0
145,6,1,19.318516525781366,5.176380902050415,15.0,1.0,20.0,14.999999999999998,24.0
146,6,2,17.320508075688775,9.999999999999998,15.0,1.0,20.0,29.999999999999996,24.0
147,6,3,14.142135623730951,14.14213562373095,15.0,1.0,20.0,45.0,24.0
148,6,4,10.000000000000002,17.32050807568877,15.0,1.0,20.0,59.99999999999999,24.0
149,6,5,5.176380902050415,19.318516525781366,15.0,1.0,20.0,75.0,24.0
150,6,6,1.2246467991473533e-15,20.0,15.0,1.0,20.0,90.0,24.0
151,6,7,-5.176380902050413,19.318516525781366,15.0,1.0,20.0,105.0,24.0
152,6,8,-9.999999999999996,17.320508075688775,15.0,1.0,20.0,119.99999999999999,24.0
153,6,9,-14.14213562373095,14.142135623730951,15.0,1.0,20.0,135.0,24.0
154,6,10,-17.320508075688775,9.999999999999998,15.0,1.0,20.0,150.0,24.0
155,6,11,-19.318516525781362,5.17638090205042,15.0,1.0,20.0,165.0,24.0
156,6,12,-20.0,2.4492935982947065e-15,15.0,1.0,20.0,180.0,24.0
